date_time,storage,inflow,withdr,outflow,withdr_req,rel_req,available
2019-09-15,3784.76,0,0,1.12,0,0,3784.76
2019-09-16,3783.64,0,0,3.138325,0,3.138325,3783.64
2019-09-17,3780.501675,2,0,28.1705,0,28.1705,3782.501675
2019-09-18,3754.331175,6,0,1.12,0,0,3760.331175
2019-09-19,3759.211175,2,0,1.12,0,0,3761.211175
2019-09-20,3760.091175,2,0,11.1756,0,11.1756,3762.091175
2019-09-21,3750.915575,2,0,48.305075,0,48.305075,3752.915575
2019-09-22,3704.6105,6,0,1.12,0,0,3710.6105
2019-09-23,3709.4905,2,0,1.12,0,0,3711.4905
2019-09-24,3710.3705,2,0,1.12,0,0,3712.3705
2019-09-25,3711.2505,2,0,1.12,0,0,3713.2505
2019-09-26,3712.1305,2,0,1.12,0,0,3714.1305
2019-09-27,3713.0105,2,0,1.12,0,0,3715.0105
2019-09-28,3713.8905,1,0,1.12,0,0,3714.8905
2019-09-29,3713.7705,1,0,1.12,0,0,3714.7705
2019-09-30,3713.6505,1,0,1.12,0,0,3714.6505
2019-10-01,3713.5305,1,0,1.12,0,0,3714.5305
2019-10-02,3713.4105,1,0,13.16415,0,13.16415,3714.4105
2019-10-03,3701.24635,1,0,1.12,0,0,3702.24635
2019-10-04,3701.12635,1,0,1.12,0,0,3702.12635
2019-10-05,3701.00635,1,0,1.12,0,0,3702.00635
2019-10-06,3700.88635,1,0,1.12,0,0,3701.88635
2019-10-07,3700.76635,1,0,1.12,0,0,3701.76635
2019-10-08,3700.64635,15,0,1.12,0,0,3715.64635
2019-10-09,3714.52635,6.3,0,1.12,0,0,3720.82635
2019-10-10,3719.70635,3,0,1.12,0,0,3722.70635
2019-10-11,3721.58635,2,0,1.12,0,0,3723.58635
2019-10-12,3722.46635,2,0,1.12,0,0,3724.46635
2019-10-13,3723.34635,2,0,1.12,0,0,3725.34635
2019-10-14,3724.22635,2,0,1.12,0,0,3726.22635
2019-10-15,3725.10635,2,0,1.12,0,0,3727.10635
2019-10-16,3725.98635,2,0,1.12,0,0,3727.98635
2019-10-17,3726.86635,2,0,1.12,0,0,3728.86635
2019-10-18,3727.74635,2,0,1.12,0,0,3729.74635
2019-10-19,3728.62635,2,0,78.912325,0,78.912325,3730.62635
2019-10-20,3651.714025,2,0,70.6581,0,70.6581,3653.714025
2019-10-21,3583.055925,2,0,70.3276,0,70.3276,3585.055925
2019-10-22,3514.728325,2,0,64.77685,0,64.77685,3516.728325
2019-10-23,3451.951475,2,0,69.295425,0,69.295425,3453.951475
2019-10-24,3384.65605,2,0,71.131375,0,71.131375,3386.65605
2019-10-25,3315.524675,2,0,96.7868,0,96.7868,3317.524675
2019-10-26,3220.737875,2,0,80.80774589,0,80.80774589,3222.737875
2019-10-27,3141.930129,2,0,76.2555309,0,76.2555309,3143.930129
2019-10-28,3067.674598,2,0,1.12,0,0,3069.674598
2019-10-29,3068.554598,2,0,1.12,0,0,3070.554598
2019-10-30,3069.434598,2,0,1.12,0,0,3071.434598
2019-10-31,3070.314598,2,0,1.12,0,0,3072.314598
2019-11-01,3071.194598,2,0,1.12,0,0,3073.194598
2019-11-02,3072.074598,2,0,1.12,0,0,3074.074598
2019-11-03,3072.954598,2,0,1.12,0,0,3074.954598
2019-11-04,3073.834598,2,0,1.12,0,0,3075.834598
2019-11-05,3074.714598,1,0,1.12,0,0,3075.714598
2019-11-06,3074.594598,1.1,0,1.12,0,0,3075.694598
2019-11-07,3074.574598,1.1,0,1.12,0,0,3075.674598
2019-11-08,3074.554598,1.1,0,1.12,0,0,3075.654598
2019-11-09,3074.534598,1.1,0,10.64492278,0,10.64492278,3075.634598
2019-11-10,3064.989675,1.1,0,15.55231552,0,15.55231552,3066.089675
2019-11-11,3050.53736,6,0,1.12,0,0,3056.53736
2019-11-12,3055.41736,4,0,1.12,0,0,3059.41736
2019-11-13,3058.29736,3,0,1.12,0,0,3061.29736
2019-11-14,3060.17736,3,0,1.12,0,0,3063.17736
2019-11-15,3062.05736,3,0,1.12,0,0,3065.05736
2019-11-16,3063.93736,1.3,0,1.12,0,0,3065.23736
2019-11-17,3064.11736,1.3,0,1.12,0,0,3065.41736
2019-11-18,3064.29736,1.3,0,1.12,0,0,3065.59736
2019-11-19,3064.47736,1.3,0,1.12,0,0,3065.77736
2019-11-20,3064.65736,1.3,0,82.24822516,0,82.24822516,3065.95736
2019-11-21,2983.709135,1.3,0,42.56683896,0,42.56683896,2985.009135
2019-11-22,2942.442296,1.3,0,39.00262455,0,39.00262455,2943.742296
2019-11-23,2904.739671,1.3,0,44.29677003,0,44.29677003,2906.039671
2019-11-24,2861.742901,1.3,0,1.12,0,0,2863.042901
2019-11-25,2861.922901,1.3,0,1.12,0,0,2863.222901
2019-11-26,2862.102901,5.7,0,1.12,0,0,2867.802901
2019-11-27,2866.682901,4,0,1.12,0,0,2870.682901
2019-11-28,2869.562901,3,0,1.12,0,0,2872.562901
2019-11-29,2871.442901,3,0,1.12,0,0,2874.442901
2019-11-30,2873.322901,3,0,1.12,0,0,2876.322901
2019-12-01,2875.202901,1.3,0,1.12,0,0,2876.502901
2019-12-02,2875.382901,1.2,0,1.12,0,0,2876.582901
2019-12-03,2875.462901,1.2,0,1.12,0,0.578465164,2876.662901
